Player 1 Name (Black),Player 2 Name (White),Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
mcts_intermediate,mcts,120,132.5,White,12.5,243
mcts_intermediate,mcts,161,163.5,White,2.5,321
mcts_intermediate,mcts,115,121.5,White,6.5,231
mcts_intermediate,mcts,188,178.5,Black,9.5,513
mcts_intermediate,mcts_advanced,56,62.5,White,6.5,115
mcts_intermediate,mcts_advanced,108,113.5,White,5.5,215
mcts_intermediate,mcts_advanced,79,85.5,White,6.5,161
mcts_intermediate,mcts_advanced,147,151.5,White,4.5,289
mcts_intermediate,mcts_advanced,173,177.5,White,4.5,375
mcts_intermediate,mcts_advanced,2,8.5,White,6.5,7
mcts_intermediate,mcts_advanced,167,176.5,White,9.5,351
mcts_intermediate,mcts_advanced,100,106.5,White,6.5,201
mcts_intermediate,mcts_advanced,134,142.5,White,8.5,269
mcts_intermediate,mcts_advanced,83,89.5,White,6.5,169
mcts_intermediate,mcts_beginner,165,195.5,White,30.5,459
mcts_intermediate,mcts_beginner,141,136.5,Black,4.5,270
mcts_intermediate,mcts_beginner,160,166.5,White,6.5,329
mcts_intermediate,mcts_beginner,165,177.5,White,12.5,347
mcts_intermediate,mcts_beginner,54,60.5,White,6.5,111
mcts_intermediate,mcts_beginner,144,139.5,Black,4.5,282
mcts_intermediate,mcts_beginner,158,168.5,White,10.5,331
mcts_intermediate,mcts_beginner,164,173.5,White,9.5,339
mcts_intermediate,mcts_beginner,109,116.5,White,7.5,219
mcts_intermediate,mcts_beginner,196,141.5,Black,54.5,488
mcts_intermediate,mcts_casual,115,120.5,White,5.5,229
mcts_intermediate,mcts_casual,130,135.5,White,5.5,251
mcts_intermediate,mcts_casual,53,59.5,White,6.5,109
mcts_intermediate,mcts_casual,29,35.5,White,6.5,61
mcts_intermediate,mcts_casual,176,189.5,White,13.5,502
mcts_intermediate,mcts_casual,145,139.5,Black,5.5,270
mcts_intermediate,mcts_casual,191,171.5,Black,19.5,506
mcts_intermediate,mcts_casual,162,178.5,White,16.5,349
mcts_intermediate,mcts_casual,168,180.5,White,12.5,465
mcts_intermediate,mcts_casual,42,48.5,White,6.5,87
