Player 1 Name,Player 2 Name,Player 1 Score,Player 2 Score,Winner,Score Difference,Number of Moves
mcts_9x9,ga,49,35.5,Black,13.5,101
mcts_9x9,ga,52,33.5,Black,18.5,110
mcts_9x9,ga,46,39.5,Black,6.5,94
mcts_9x9,ga,41,39.5,Black,1.5,84
mcts_9x9,ga,49,36.5,Black,12.5,112
mcts_9x9,ga,44,42.5,Black,1.5,99
mcts_9x9,ga,42,37.5,Black,4.5,80
mcts_9x9,ga,46,38.5,Black,7.5,106
mcts_9x9,ga,47,39.5,Black,7.5,98
mcts_9x9,ga,45,37.5,Black,7.5,102
mcts_9x9,ga,46,29.5,Black,16.5,88
mcts_9x9,ga,59,27.5,Black,31.5,98
mcts_9x9,ga,60,24.5,Black,35.5,128
mcts_9x9,ga,68,18.5,Black,49.5,133
mcts_9x9,ga,59,25.5,Black,33.5,122
mcts_9x9,ga,50,35.5,Black,14.5,112
mcts_9x9,ga,49,37.5,Black,11.5,105
mcts_9x9,ga,58,27.5,Black,30.5,136
mcts_9x9,ga,52,31.5,Black,20.5,107
mcts_9x9,ga,57,28.5,Black,28.5,100
mcts_9x9,ga,44,34.5,Black,9.5,84
mcts_9x9,ga,48,36.5,Black,11.5,106
mcts_9x9,ga,59,26.5,Black,32.5,131
mcts_9x9,ga,49,36.5,Black,12.5,110
mcts_9x9,ga,44,39.5,Black,4.5,91
mcts_9x9,ga,50,31.5,Black,18.5,102
mcts_9x9,ga,48,35.5,Black,12.5,113
mcts_9x9,ga,62,19.5,Black,42.5,112
mcts_9x9,ga,67,18.5,Black,48.5,151
mcts_9x9,ga,44,42.5,Black,1.5,113
mcts_9x9,ga,52,31.5,Black,20.5,105
mcts_9x9,ga,46,40.5,Black,5.5,108
mcts_9x9,ga,44,42.5,Black,1.5,105
mcts_9x9,ga,47,40.5,Black,6.5,109
mcts_9x9,mcts,4,10.5,White,6.5,11
mcts_9x9,mcts,44,41.5,Black,2.5,103
mcts_9x9,mcts,28,33.5,White,5.5,59
mcts_9x9,mcts,44,43.5,Black,0.5,104
mcts_9x9,mcts,0,6.5,White,6.5,3
mcts_9x9,mcts,17,67.5,White,50.5,151
mcts_9x9,mcts,13,19.5,White,6.5,29
mcts_9x9,mcts,32,55.5,White,23.5,123
mcts_9x9,mcts,28,37.5,White,9.5,59
mcts_9x9,mcts,35,44.5,White,9.5,79
mcts_9x9,mcts,45,42.5,Black,2.5,109
mcts_9x9,mcts,44,43.5,Black,0.5,124
mcts_9x9,mcts,47,38.5,Black,8.5,103
mcts_9x9,mcts,42,44.5,White,2.5,102
mcts_9x9,mcts,47,37.5,Black,9.5,96
mcts_9x9,mcts,44,40.5,Black,3.5,93
mcts_9x9,mcts,10,16.5,White,6.5,23
mcts_9x9,mcts,31,54.5,White,23.5,93
mcts_9x9,mcts,27,23.5,Black,3.5,46
mcts_9x9,mcts,48,36.5,Black,11.5,112
mcts_9x9,mcts,13,65.5,White,52.5,125
mcts_9x9,mcts,6,12.5,White,6.5,15
mcts_9x9,mcts,81,6.5,Black,74.5,4
mcts_9x9,mcts,36,49.5,White,13.5,128
mcts_9x9,mcts,30,36.5,White,6.5,63
mcts_9x9,mcts,43,42.5,Black,0.5,96
mcts_9x9,mcts,5,11.5,White,6.5,13
mcts_9x9,mcts,29,43.5,White,14.5,67
mcts_9x9,mcts,48,38.5,Black,9.5,105
mcts_9x9,mcts,44,41.5,Black,2.5,95
mcts_9x9,mcts,28,34.5,White,6.5,57
mcts_9x9,mcts,45,41.5,Black,3.5,101
mcts_9x9,mcts,41,44.5,White,3.5,108
mcts_9x9,mcts,30,37.5,White,7.5,61
mcts_9x9,mcts,46,38.5,Black,7.5,96
mcts_9x9,mcts,44,42.5,Black,1.5,101
mcts_9x9,mcts,9,15.5,White,6.5,21
mcts_9x9,mcts,69,13.5,Black,55.5,122
mcts_9x9,mcts,4,10.5,White,6.5,11
mcts_9x9,mcts,65,18.5,Black,46.5,140
mcts_9x9,mcts,30,30.5,White,0.5,57
mcts_9x9,mcts,12,64.5,White,52.5,135
mcts_9x9,mcts,22,28.5,White,6.5,47
mcts_9x9,mcts,30,52.5,White,22.5,104
mcts_9x9,mcts,43,43.5,White,0.5,104
mcts_9x9,mcts,44,41.5,Black,2.5,115
mcts_9x9,mcts,6,12.5,White,6.5,15
mcts_9x9,mcts,5,11.5,White,6.5,13
mcts_9x9,mcts,7,13.5,White,6.5,17
mcts_9x9,mcts,44,43.5,Black,0.5,108
mcts_9x9,random,42,39.5,Black,2.5,82
mcts_9x9,random,48,39.5,Black,8.5,121
mcts_9x9,random,44,39.5,Black,4.5,90
mcts_9x9,random,29,26.5,Black,2.5,54
mcts_9x9,random,50,31.5,Black,18.5,96
mcts_9x9,random,44,30.5,Black,13.5,86
mcts_9x9,random,48,27.5,Black,20.5,96
mcts_9x9,random,47,26.5,Black,20.5,100
mcts_9x9,random,51,29.5,Black,21.5,102
mcts_9x9,random,45,41.5,Black,3.5,86
mcts_9x9,random,47,35.5,Black,11.5,96
mcts_9x9,random,41,38.5,Black,2.5,84
mcts_9x9,random,41,36.5,Black,4.5,80
mcts_9x9,random,49,37.5,Black,11.5,108
mcts_9x9,random,45,38.5,Black,6.5,84
mcts_9x9,random,46,38.5,Black,7.5,92
mcts_9x9,random,42,36.5,Black,5.5,84
mcts_9x9,random,56,30.5,Black,25.5,98
mcts_9x9,random,44,39.5,Black,4.5,90
mcts_9x9,random,38,33.5,Black,4.5,70
mcts_9x9,random,49,35.5,Black,13.5,106
mcts_9x9,random,44,35.5,Black,8.5,78
mcts_9x9,random,45,34.5,Black,10.5,101
mcts_9x9,random,40,36.5,Black,3.5,74
mcts_9x9,random,44,40.5,Black,3.5,93
mcts_9x9,random,42,35.5,Black,6.5,72
mcts_9x9,random,53,31.5,Black,21.5,98
mcts_9x9,random,48,34.5,Black,13.5,86
mcts_9x9,random,54,29.5,Black,24.5,82
mcts_9x9,random,46,33.5,Black,12.5,98
mcts_9x9,random,50,36.5,Black,13.5,117
mcts_9x9,random,43,40.5,Black,2.5,96
mcts_9x9,random,52,32.5,Black,19.5,101
mcts_9x9,random,47,32.5,Black,14.5,86
mcts_9x9,random,44,35.5,Black,8.5,80
mcts_9x9,random,45,31.5,Black,13.5,98
mcts_9x9,random,46,30.5,Black,15.5,94
mcts_9x9,random,50,33.5,Black,16.5,104
mcts_9x9,random,52,25.5,Black,26.5,104
mcts_9x9,random,55,29.5,Black,25.5,99
mcts_9x9,random,41,30.5,Black,10.5,88
mcts_9x9,random,42,38.5,Black,3.5,84
mcts_9x9,random,44,25.5,Black,18.5,90
mcts_9x9,random,48,32.5,Black,15.5,118
mcts_9x9,random,48,37.5,Black,10.5,101
mcts_9x9,random,45,36.5,Black,8.5,86
mcts_9x9,random,70,15.5,Black,54.5,151
mcts_9x9,random,43,35.5,Black,7.5,77
mcts_9x9,random,35,29.5,Black,5.5,62
mcts_9x9,random,46,39.5,Black,6.5,100
random,ga,68,17.5,Black,50.5,150
random,ga,46,41.5,Black,4.5,113
random,ga,1,85.5,White,84.5,161
random,ga,0,87.5,White,87.5,163
random,ga,3,82.5,White,79.5,163
random,ga,59,7.5,Black,51.5,163
random,ga,6,75.5,White,69.5,163
random,ga,1,85.5,White,84.5,163
random,ga,52,34.5,Black,17.5,128
random,ga,6,79.5,White,73.5,163
random,ga,9,77.5,White,68.5,163
random,ga,63,22.5,Black,40.5,163
random,ga,63,13.5,Black,49.5,163
random,ga,56,30.5,Black,25.5,157
random,ga,55,17.5,Black,37.5,114
random,ga,1,85.5,White,84.5,163
random,ga,10,63.5,White,53.5,163
random,ga,59,24.5,Black,34.5,131
random,ga,3,82.5,White,79.5,163
random,ga,3,82.5,White,79.5,163
random,ga,17,69.5,White,52.5,163
random,ga,18,62.5,White,44.5,123
random,ga,12,63.5,White,51.5,163
random,ga,1,85.5,White,84.5,163
random,ga,0,87.5,White,87.5,163
random,ga,67,13.5,Black,53.5,163
random,ga,2,81.5,White,79.5,163
random,ga,2,84.5,White,82.5,163
random,ga,7,76.5,White,69.5,163
random,ga,18,67.5,White,49.5,163
random,ga,68,17.5,Black,50.5,163
random,ga,58,13.5,Black,44.5,163
random,ga,33,52.5,White,19.5,110
random,ga,8,76.5,White,68.5,154
random,ga,59,26.5,Black,32.5,158
random,ga,65,15.5,Black,49.5,163
random,ga,2,84.5,White,82.5,163
random,ga,15,67.5,White,52.5,163
random,ga,8,54.5,White,46.5,163
random,ga,67,18.5,Black,48.5,144
random,ga,11,65.5,White,54.5,163
random,ga,41,44.5,White,3.5,97
random,ga,29,55.5,White,26.5,106
random,ga,0,87.5,White,87.5,163
random,ga,16,69.5,White,53.5,163
random,ga,4,80.5,White,76.5,163
random,ga,39,45.5,White,6.5,84
random,ga,1,85.5,White,84.5,163
random,ga,13,65.5,White,52.5,163
random,ga,62,17.5,Black,44.5,163
random,mcts,13,19.5,White,6.5,29
random,mcts,33,36.5,White,3.5,67
random,mcts,23,30.5,White,7.5,49
random,mcts,35,47.5,White,12.5,93
random,mcts,33,39.5,White,6.5,65
random,mcts,4,10.5,White,6.5,11
random,mcts,39,46.5,White,7.5,88
random,mcts,34,40.5,White,6.5,69
random,mcts,16,20.5,White,4.5,33
random,mcts,42,43.5,White,1.5,104
random,mcts,35,52.5,White,17.5,106
random,mcts,1,7.5,White,6.5,5
random,mcts,16,23.5,White,7.5,35
random,mcts,31,38.5,White,7.5,67
random,mcts,39,46.5,White,7.5,104
random,mcts,6,11.5,White,5.5,15
random,mcts,5,11.5,White,6.5,13
random,mcts,27,31.5,White,4.5,56
random,mcts,0,6.5,White,6.5,3
random,mcts,28,30.5,White,2.5,57
random,mcts,36,42.5,White,6.5,81
random,mcts,3,8.5,White,5.5,8
random,mcts,6,12.5,White,6.5,15
random,mcts,27,29.5,White,2.5,53
random,mcts,9,15.5,White,6.5,21
random,mcts,41,41.5,White,0.5,85
random,mcts,35,51.5,White,16.5,95
random,mcts,35,44.5,White,9.5,80
random,mcts,28,55.5,White,27.5,97
random,mcts,33,36.5,White,3.5,65
random,mcts,2,8.5,White,6.5,7
random,mcts,12,17.5,White,5.5,27
random,mcts,37,47.5,White,10.5,91
random,mcts,25,28.5,White,3.5,49
random,mcts,16,22.5,White,6.5,35
random,mcts,29,50.5,White,21.5,100
random,mcts,19,25.5,White,6.5,41
random,mcts,15,20.5,White,5.5,33
random,mcts,20,24.5,White,4.5,41
random,mcts,39,42.5,White,3.5,77
random,mcts,6,12.5,White,6.5,15
random,mcts,40,42.5,White,2.5,97
random,mcts,30,34.5,White,4.5,59
random,mcts,35,39.5,White,4.5,71
random,mcts,15,20.5,White,5.5,31
random,mcts,17,24.5,White,7.5,37
random,mcts,38,44.5,White,6.5,81
random,mcts,8,14.5,White,6.5,19
random,mcts,35,44.5,White,9.5,79
random,mcts,14,20.5,White,6.5,31
random,mcts_9x9,29,39.5,White,10.5,65
random,mcts_9x9,18,24.5,White,6.5,39
random,mcts_9x9,30,32.5,White,2.5,55
random,mcts_9x9,30,37.5,White,7.5,67
random,mcts_9x9,29,47.5,White,18.5,81
random,mcts_9x9,24,57.5,White,33.5,109
random,mcts_9x9,33,45.5,White,12.5,73
random,mcts_9x9,33,36.5,White,3.5,63
random,mcts_9x9,35,50.5,White,15.5,95
random,mcts_9x9,20,27.5,White,7.5,43
random,mcts_9x9,15,21.5,White,6.5,33
random,mcts_9x9,29,55.5,White,26.5,107
random,mcts_9x9,14,22.5,White,8.5,33
random,mcts_9x9,11,62.5,White,51.5,131
random,mcts_9x9,9,15.5,White,6.5,21
random,mcts_9x9,33,39.5,White,6.5,81
random,mcts_9x9,34,50.5,White,16.5,97
random,mcts_9x9,7,12.5,White,5.5,17
random,mcts_9x9,19,26.5,White,7.5,43
random,mcts_9x9,25,48.5,White,23.5,81
random,mcts_9x9,8,14.5,White,6.5,19
random,mcts_9x9,8,14.5,White,6.5,19
random,mcts_9x9,28,31.5,White,3.5,49
random,mcts_9x9,31,38.5,White,7.5,67
random,mcts_9x9,38,47.5,White,9.5,85
random,mcts_9x9,34,39.5,White,5.5,71
random,mcts_9x9,0,6.5,White,6.5,3
random,mcts_9x9,39,44.5,White,5.5,101
random,mcts_9x9,26,32.5,White,6.5,53
random,mcts_9x9,34,43.5,White,9.5,75
random,mcts_9x9,34,42.5,White,8.5,77
random,mcts_9x9,31,39.5,White,8.5,67
random,mcts_9x9,23,28.5,White,5.5,47
random,mcts_9x9,17,22.5,White,5.5,35
random,mcts_9x9,35,41.5,White,6.5,73
random,mcts_9x9,18,22.5,White,4.5,37
random,mcts_9x9,31,37.5,White,6.5,61
random,mcts_9x9,32,46.5,White,14.5,97
